name,points_per_game,assists_per_game,rebounds_per_game,blocks_per_game,turnovers_per_game
Shai Gilgeous-Alexander,32.44642857142857,6.178571428571429,5.196428571428571,1.0535714285714286,2.607142857142857
Anthony Edwards,27.473684210526315,4.578947368421052,6.0,0.6491228070175439,3.491228070175439
Nikola Jokić,29.173076923076923,10.384615384615385,12.615384615384615,0.6538461538461539,3.173076923076923
Jalen Brunson,25.964285714285715,7.428571428571429,2.857142857142857,0.08928571428571429,2.4642857142857144
Jayson Tatum,26.77777777777778,5.722222222222222,8.75925925925926,0.5185185185185185,2.759259259259259
Giannis Antetokounmpo,31.045454545454547,5.795454545454546,12.022727272727273,1.2954545454545454,3.5
Cade Cunningham,25.77358490566038,9.452830188679245,6.30188679245283,0.7735849056603774,4.433962264150943
Devin Booker,26.137254901960784,6.745098039215686,4.0,0.27450980392156865,2.6666666666666665
Tyrese Maxey,27.122448979591837,6.020408163265306,3.4081632653061225,0.40816326530612246,2.4693877551020407
Donovan Mitchell,24.203703703703702,4.777777777777778,4.296296296296297,0.2037037037037037,2.0
De'Aaron Fox,24.977777777777778,6.133333333333334,5.0,0.4444444444444444,2.9555555555555557
De'Aaron Fox,21.75,7.0,4.75,0.375,2.375
Tyler Herro,24.0,5.592592592592593,5.537037037037037,0.12962962962962962,2.7037037037037037
Trae Young,23.98148148148148,11.481481481481481,3.1296296296296298,0.2037037037037037,4.87037037037037
Karl-Anthony Towns,24.826923076923077,3.230769230769231,13.461538461538462,0.75,2.576923076923077
LeBron James,24.666666666666668,8.843137254901961,7.745098039215686,0.5882352941176471,3.8823529411764706
Jaren Jackson Jr.,22.78181818181818,2.2181818181818183,5.963636363636364,1.6545454545454545,2.2181818181818183
Jalen Green,21.526315789473685,3.1228070175438596,4.298245614035087,0.3157894736842105,2.543859649122807
Zach LaVine,23.976190476190474,4.5,4.809523809523809,0.23809523809523808,2.880952380952381
Zach LaVine,23.0,4.375,3.25,0.125,2.75
Kevin Durant,26.931818181818183,4.204545454545454,6.0,1.3863636363636365,2.977272727272727
Damian Lillard,25.565217391304348,7.5,4.739130434782608,0.1956521739130435,2.9347826086956523
James Harden,21.64814814814815,8.555555555555555,5.925925925925926,0.6481481481481481,4.555555555555555
Darius Garland,21.333333333333332,6.685185185185185,2.537037037037037,0.18518518518518517,2.4814814814814814
DeMar DeRozan,22.057692307692307,3.769230769230769,3.923076923076923,0.4230769230769231,1.3461538461538463
Pascal Siakam,20.428571428571427,3.3392857142857144,7.321428571428571,0.4642857142857143,1.2857142857142858
Kyrie Irving,24.695652173913043,4.739130434782608,4.739130434782608,0.41304347826086957,2.217391304347826
Jalen Williams,20.98148148148148,5.148148148148148,5.5,0.7222222222222222,2.259259259259259
Stephen Curry,23.5,6.083333333333333,4.458333333333333,0.4583333333333333,2.8541666666666665
Victor Wembanyama,24.26086956521739,3.652173913043478,11.0,3.8260869565217392,3.239130434782609
Anthony Davis,25.738095238095237,3.357142857142857,11.880952380952381,2.142857142857143,2.2142857142857144
Anthony Davis,26.0,7.0,16.0,3.0,1.0
Jaylen Brown,22.895833333333332,4.75,6.083333333333333,0.2708333333333333,2.6458333333333335
Norman Powell,24.22222222222222,2.2222222222222223,3.5555555555555554,0.17777777777777778,2.066666666666667
Domantas Sabonis,20.01851851851852,6.296296296296297,14.5,0.3888888888888889,3.037037037037037
Jamal Murray,21.137254901960784,6.0588235294117645,3.803921568627451,0.5490196078431373,2.215686274509804
Nikola Vučević,19.125,3.392857142857143,10.267857142857142,0.6607142857142857,1.7142857142857142
Jordan Poole,20.98,4.82,3.22,0.46,3.3
Alperen Şengün,19.037037037037038,4.87037037037037,10.537037037037036,0.7407407407407407,2.462962962962963
Michael Porter Jr.,18.618181818181817,2.1818181818181817,6.7272727272727275,0.45454545454545453,1.3454545454545455
Anfernee Simons,18.703703703703702,5.018518518518518,2.7222222222222223,0.09259259259259259,2.111111111111111
Mikal Bridges,17.49122807017544,3.2982456140350878,3.1578947368421053,0.543859649122807,1.5263157894736843
Tyrese Haliburton,18.10909090909091,8.690909090909091,3.4909090909090907,0.6363636363636364,1.7636363636363637
Franz Wagner,25.05128205128205,4.897435897435898,5.717948717948718,0.4358974358974359,2.3076923076923075
RJ Barrett,21.90909090909091,5.636363636363637,6.4772727272727275,0.29545454545454547,2.9318181818181817
Austin Reaves,19.22,6.14,4.32,0.28,2.48
Malik Beasley,16.5,1.7241379310344827,2.8275862068965516,0.034482758620689655,1.0517241379310345
Evan Mobley,18.686274509803923,3.0784313725490198,9.27450980392157,1.588235294117647,1.9215686274509804
CJ McCollum,22.13953488372093,3.8372093023255816,3.7674418604651163,0.5348837209302325,1.8372093023255813
LaMelo Ball,26.305555555555557,7.111111111111111,5.083333333333333,0.3055555555555556,3.4444444444444446
Coby White,18.019607843137255,4.666666666666667,3.3333333333333335,0.21568627450980393,2.3529411764705883
Bam Adebayo,16.87037037037037,4.296296296296297,9.981481481481481,0.7407407407407407,2.185185185185185
Trey Murphy III,22.170731707317074,3.707317073170732,5.2439024390243905,0.6829268292682927,1.7804878048780488
Julius Randle,18.854166666666668,4.458333333333333,7.166666666666667,0.22916666666666666,2.8333333333333335
Bennedict Mathurin,16.27777777777778,1.8703703703703705,5.5,0.3888888888888889,1.8703703703703705
Scottie Barnes,19.90909090909091,6.204545454545454,7.886363636363637,1.1136363636363635,2.9545454545454546
Malik Monk,17.857142857142858,5.8979591836734695,3.7551020408163267,0.673469387755102,2.306122448979592
Derrick White,16.166666666666668,4.296296296296297,4.425925925925926,1.0740740740740742,1.6296296296296295
Naz Reid,14.862068965517242,2.0689655172413794,5.844827586206897,0.9482758620689655,1.2413793103448276
Christian Braun,14.859649122807017,2.192982456140351,5.0701754385964914,0.5263157894736842,0.9649122807017544
Miles Bridges,20.166666666666668,3.6666666666666665,7.666666666666667,0.6428571428571429,2.0238095238095237
Shaedon Sharpe,16.94,2.46,3.68,0.24,1.84
Andrew Wiggins,17.558139534883722,2.3488372093023258,4.5813953488372094,0.7674418604651163,1.302325581395349
Andrew Wiggins,18.4,2.8,5.4,1.2,2.6
